Age,Commit message (Expand),Author,Files,Lines
2/7/2023,net: mana: Fix accessing freed irq affinity_hint,Haiyang Zhang,1,-26/+11
2/7/2023,hv_netvsc: Allocate memory in netvsc_dma_map() with GFP_ATOMIC,Michael Kelley,1,-1/+1
2/1/2023,hv_netvsc: Fix missed pagebuf entries in netvsc_dma_map/unmap(),Michael Kelley,1,-7/+2
2023-01-20,net: mana: Fix IRQ name - add PCI and queue number,Haiyang Zhang,2,-1/+11
2023-01-04,cifs: fix interface count calculation during refresh,Shyam Prasad N,1,-1/+2
2023-01-04,cifs: refcount only the selected iface during interface update,Shyam Prasad N,1,-1/+2
2022-12-19,cifs: update internal module number,Steve French,1,-2/+2
2022-12-14,scsi: storvsc: Fix swiotlb bounce buffer leak in confidential VM,Michael Kelley,1,-0/+3
2022-12-12,cifs: print warning when conflicting soft vs. hard mount options specified,Steve French,1,-3/+8
2022-12-12,cifs: fix missing display of three mount options,Steve French,1,-1/+7
2022-12-12,cifs: fix various whitespace errors in headers,Steve French,2,-30/+22
2022-12-12,cifs: minor cleanup of some headers,Steve French,3,-5/+8
2022-12-09,mm/gup: fix gup_pud_range() for dax,John Starks,1,-1/+1
2022-12-08,tpm/tpm_crb: Fix error message in __crb_relinquish_locality(),Michael Kelley,1,-1/+1
2022-12-06,net: mana: Fix race on per-CQ variable napi work_done,Haiyang Zhang,2,-6/+19
2022-11-29,x86/hyperv: Remove unregister syscore call from Hyper-V cleanup,Gaurav Kohli,1,-2/+0
2022-11-28,tracing/user_events: Fix call print_fmt leak,Beau Belgrave,1,-0/+1
2022-11-28,iommu/hyper-v: Allow hyperv irq remapping without x2apic,Nuno Das Neves,3,-6/+17
2022-11-28,x86/hyperv: Expand definition of struct hv_vp_assist_page,Saurabh Sengar,1,-1/+10
2022-11-28,hv_balloon: Add support for configurable order free page reporting,Shradha Gupta,1,-21/+73
2022-11-28,mm/page_reporting: Add checks for page_reporting_order param,Shradha Gupta,1,-5/+45
2022-11-22,x86/ioremap: Fix page aligned size calculation in __ioremap_caller(),Michael Kelley,1,-1/+7
2022-11-12,PCI: hv: Only reuse existing IRTE allocation for Multi-MSI,Dexuan Cui,1,-15/+75
2022-11-11,scsi: storvsc: Fix handling of srb_status and capacity change events,Michael Kelley,1,-35/+34
2022-11-11,selftests: bpf: Add a test when bpf_probe_read_kernel_str() returns EFAULT,Alban Crequy,2,-0/+12
2022-11-11,maccess: Fix writing offset in case of fault in strncpy_from_kernel_nofault(),Alban Crequy,1,-1/+1
2022-11-11,RDMA/mana_ib: Add a driver for Microsoft Azure Network Adapter,Long Li,15,-0/+1793
2022-11-10,net: mana: Define data structures for protection domain and memory registration,Ajay Sharma,3,-23/+143
2022-11-10,net: mana: Define data structures for allocating doorbell page from GDMA,Long Li,1,-0/+24
2022-11-10,net: mana: Define and process GDMA response code GDMA_STATUS_MORE_ENTRIES,Ajay Sharma,2,-1/+3
2022-11-10,net: mana: Define max values for SGL entries,Long Li,3,-4/+9
2022-11-10,net: mana: Move header files to a common location,Long Li,12,-8/+9
2022-11-10,net: mana: Record port number in netdev,Long Li,1,-0/+1
2022-11-10,net: mana: Export Work Queue functions for use by RDMA driver,Long Li,3,-7/+19
2022-11-10,net: mana: Set the DMA device max segment size,Ajay Sharma,1,-0/+6
2022-11-10,net: mana: Handle vport sharing between devices,Long Li,2,-2/+58
2022-11-10,net: mana: Record the physical address for doorbell page region,Long Li,2,-0/+6
2022-11-10,net: mana: Add support for auxiliary device,Long Li,4,-1/+95
2022-11-04,cifs: avoid unnecessary iteration of tcp sessions,Shyam Prasad N,3,-51/+55
2022-11-04,cifs: always iterate smb sessions using primary channel,Shyam Prasad N,4,-5/+25
